[2023-08-24 02:02:29,756][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 02:04:22,392][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 02:07:04,258][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 02:07:17,251][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 02:08:12,580][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 14:16:03,378][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 14:34:31,816][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 14:53:15,935][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 14:57:48,999][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 14:59:10,347][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 14:59:58,015][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 15:00:27,659][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 15:10:53,880][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 15:12:19,390][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 15:12:50,068][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 15:12:56,543][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2023-08-24 15:13:24,666][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 15:13:31,263][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2023-08-24 15:13:32,406][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2023-08-24 15:13:55,807][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2023-08-24 15:13:56,978][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2023-08-24 15:16:44,431][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 15:16:50,900][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2023-08-24 15:17:40,677][lightning_lite.utilities.seed][INFO] - Global seed set to 0
[2023-08-24 15:17:47,205][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
[2023-08-24 15:18:11,670][matplotlib.image][WARNING] - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
